kode_politikus;politikus;kode_pendidikan;pendidikan
Q12471516;Alirman Sori;Q97596283;Sekolah Tinggi Ilmu Hukum Padang
Q16166149;Alis Marajo;Q280361;Universitas Andalas
Q16166149;Alis Marajo;Q123387291;SMA Negeri 1 Bukit
Q96989608;Aliyah Mustika Ilham;Q478044;Universitas Hasanuddin
Q97455331;Aloysius Aloy;Q14091635;Universitas Katolik Parahyangan
Q109438095;Aloysius Malo Ladi;Q12523364;Universitas Katolik Widya Mandira
Q4738167;Alvin Lie;Q4763600;Anglo-Chinese School
Q2840640;Alwi Shihab;Q13371;Universitas Harvard
Q2840640;Alwi Shihab;Q173959;Universitas Al-Azhar
Q2840640;Alwi Shihab;Q1420239;Universitas Temple
Q131351990;Amalia Desiana;Q6177417;Universitas Jenderal Soedirman
Q109441306;Amalsyah Tarmizi;Q10862512;Akademi Militer
Q97590785;Ambar Tjahjono;Q350752;Universitas Islam Indonesia
Q97590785;Ambar Tjahjono;Q67179948;Sekolah Tinggi Ilmu Ekonomi YKP
Q19723890;Ambia B. Bustam;Q7894418;Universitas Nasional
Q28485094;Amdjad Lawasa;Q478044;Universitas Hasanuddin
Q25470369;Amelia Anggraini;Q12510632;SMA Negeri 5 Kota Jambi
Q56399007;Ami Taher;Q534515;Universitas Indonesia
Q2202270;Amien Rais;Q131252;Universitas Chicago
Q2202270;Amien Rais;Q173959;Universitas Al-Azhar
Q2202270;Amien Rais;Q178848;Universitas Notre Dame
Q2202270;Amien Rais;Q432637;Universitas George Washington
Q2202270;Amien Rais;Q1145992;Universitas Gadjah Mada
Q96989142;Amin Ak;Q13098258;Universitas Jember
Q97590783;Amin Santono;Q12523366;Universitas Krisnadwipayana
Q109442916;Aminatun Habibah;Q12523418;Universitas Negeri Yogyakarta
Q56416843;Aminullah Usman;Q3958218;Universitas Syiah Kuala
Q105478117;Amir Hamzah;Q12523376;Universitas Medan Area
Q4252072;Amir Machmud;Q10862512;Akademi Militer
Q1810083;Amir Sjarifoeddin;Q57046996;Stedelijk Gymnasium Haarlem
Q17998069;Amir Syarifuddin;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q96989441;Amir Uskara;Q25455566;SMP Negeri 1 Sungguminasa
Q20741989;Amiruddin Maula;Q478044;Universitas Hasanuddin
Q97590811;Ammy Amalia Fatma Surya;Q534515;Universitas Indonesia
Q97590811;Ammy Amalia Fatma Surya;Q4200627;Universitas Diponegoro
Q97590811;Ammy Amalia Fatma Surya;Q12510413;SMA Negeri 1 Kota Semarang
Q97590823;Amran;Q7408055;Universitas Sam Ratulangi
Q25469672;Amran Mahmud;Q12522872;UIN Alauddin Makassar
Q109563835;Amri Darwis;Q7894421;Universitas Terbuka
Q109563835;Amri Darwis;Q12523331;Universitas Ibnu Chaldun
Q109563835;Amri Darwis;Q12712165;Universitas Negeri Jakarta
Q106648138;Amris;Q109921919;STAI Tafaqquhfiddin Dumai
Q106648138;Amris;Q123806109;SD Negeri 5 Bengkalis
Q25462880;Amru Daulay;Q4200341;Universitas Sumatera Utara
Q25466935;Amsakar Achmad;Q7322177;Universitas Riau
Q16166850;Ananda;Q1896627;Universitas Lambung Mangkurat
Q4273018;Anang Hermansyah;Q12511013;SMP Negeri 1 Jember
Q4273018;Anang Hermansyah;Q19752881;SMA Negeri 4 Surabaya
Q4273018;Anang Hermansyah;Q124205630;SD Negeri Jember Kidul 1
Q12471972;Anang Iskandar;Q4250926;Universitas Trisakti
Q85988706;Anarulita muchtar;Q7894412;Universitas Kristen Indonesia
Q96989184;Anas Thahir;Q12495724;MAN 1 Banyuwangi
