politikus;kode_politikus;partai;kode_partai
Eman Raswa;Q123877681;Partai Kebangkitan Nusantara;Q115754699
Eman Suherman;Q123890462;Partai Demokrat (Indonesia);Q1186227
Eman Sulaeman;Q123879238;Partai Garda Republik Indonesia;Q123553440
Eman Sulaeman Nasim;Q123711396;Partai Keadilan Sejahtera;Q1511101
Eman Supriyadi;Q123710576;Partai Bulan Bintang;Q2915024
Emanuel Butu;Q123898698;Partai Hati Nurani Rakyat;Q4262041
Emanuel Daeli;Q123869528;Partai Golongan Karya;Q1536552
Emanuel Herdiyanto Moat Gleko;Q123716068;Partai Persatuan Indonesia;Q19752495
Emanuel Kolfidus;Q123886215;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emanuel Kowib;Q123897897;Partai Bulan Bintang;Q2915024
Emanuel Reressy;Q123895509;Partai Kebangkitan Nusantara;Q115754699
Emanuel Rettob;Q123897815;Partai Solidaritas Indonesia;Q23744654
Emanuel Salib;Q123886339;Partai Solidaritas Indonesia;Q23744654
Emanuel Tefa;Q123886567;Partai Solidaritas Indonesia;Q23744654
Emanuel Wempy;Q123886558;Partai Demokrat (Indonesia);Q1186227
Emanuel You;Q123898739;Partai Gerakan Indonesia Raya;Q4261459
Emayus Acai;Q123887470;Partai Persatuan Indonesia;Q19752495
Emelda;Q123866134;Partai Amanat Nasional;Q2434365
Emelia Julia Nomleni;Q123886597;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emelia Kotensa;Q123867021;Partai Persatuan Pembangunan;Q2669302
Emelia Murcahyani;Q123882222;Partai Gerakan Indonesia Raya;Q4261459
Emeraldo Petra;Q123878887;Partai Demokrat (Indonesia);Q1186227
Emerentiana E. Nurak;Q123885855;Partai Hati Nurani Rakyat;Q4262041
Emerentiana Yusi Utari Ekawati;Q123880133;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emericus Renwarin;Q123897902;Partai Solidaritas Indonesia;Q23744654
Emerita Duha;Q123869285;Partai Kebangkitan Nusantara;Q115754699
Emi Aher;Q123716875;Partai Gelombang Rakyat Indonesia;Q97016042
Emi Anisa;Q123872552;Partai NasDem;Q4207219
Emi Ekawati;Q123867027;Partai Kebangkitan Bangsa;Q1257317
Emi Enembe;Q123899201;Partai Amanat Nasional;Q2434365
Emi Haryuni;Q123869260;Partai Buruh;Q4203001
Emi Helmina;Q123866558;Partai Keadilan Sejahtera;Q1511101
Emi Kristina Amenda;Q123897935;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emi Roslaini;Q123866270;Partai Demokrat (Indonesia);Q1186227
Emi Sukasih Sitepu;Q123870567;Partai Kebangkitan Bangsa;Q1257317
Emi Suliastini;Q123713568;Partai Garda Republik Indonesia;Q123553440
Emi Suryani;Q123713921;Partai NasDem;Q4207219
Emi Sutimi;Q123876054;Partai NasDem;Q4207219
Emi Yanti;Q123866044;Partai Buruh;Q4203001
Emil Haris;Q123892673;Partai Bulan Bintang;Q2915024
Emil Malik Ibrahim;Q123710188;Partai Gerakan Indonesia Raya;Q4261459
Emil Reza Satyagraha;Q123866764;Partai Golongan Karya;Q1536552
Emil Salim;Q123883081;Partai Amanat Nasional;Q2434365
Emil Salim Djamal;Q123895212;Partai Persatuan Pembangunan;Q2669302
Emila Sholiha;Q123873741;Partai Kebangkitan Bangsa;Q1257317
Emilda T;Q123889857;Partai Gerakan Indonesia Raya;Q4261459
Emilei Zola;Q123871053;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emiler Yigibalom;Q123899127;Partai Kebangkitan Bangsa;Q1257317
Emilia Aibenbrok;Q123897182;Partai Gelombang Rakyat Indonesia;Q97016042
Emilia Ndundus;Q123889663;Partai Gerakan Indonesia Raya;Q4261459
Emilia Sri Wahyuni P;Q123892057;Partai Amanat Nasional;Q2434365
Emilia Yohana Novita Asmuruf;Q123898537;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emilianus Agustinus Nai;Q123898007;Partai Kebangkitan Bangsa;Q1257317
Emiliya Pakaya;Q123893984;Partai Keadilan Sejahtera;Q1511101
Emillia Nastiti;Q123878761;Partai Persatuan Indonesia;Q19752495
Emiran;Q123893543;Partai Golongan Karya;Q1536552
Emirsyah Mhd. Thariq;Q123711201;Partai Kebangkitan Nusantara;Q115754699
Emison Kogoya;Q123898466;Partai Buruh;Q4203001
Emison Kulla;Q123898420;Partai Persatuan Pembangunan;Q2669302
Emki Tabuni;Q123899482;Partai Hati Nurani Rakyat;Q4262041
Emma Hernasari;Q123876768;Partai Gerakan Indonesia Raya;Q4261459
Emma Netty Rosdiana Purba;Q123878083;Partai Solidaritas Indonesia;Q23744654
Emma Yanti;Q123871429;Partai Golongan Karya;Q1536552
Emmanuel Eduardo Cahaya;Q123878890;Partai Demokrat (Indonesia);Q1186227
Emmi Chadijah Dewi;Q123892998;Partai Demokrat (Indonesia);Q1186227
Emmi Usriana;Q123891952;Partai Amanat Nasional;Q2434365
Emmy;Q123891018;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emmy Helda;Q123873525;Partai Ummat;Q106255756
Emmy Purwati;Q123893779;Partai Keadilan Sejahtera;Q1511101
Emmy Tallesang;Q123892889;Partai Gerakan Indonesia Raya;Q4261459
Emmy Tan;Q123895056;Partai Persatuan Pembangunan;Q2669302
Emrawati;Q123712334;Partai Persatuan Pembangunan;Q2669302
Emtizar Karyan;Q123876213;Partai Ummat;Q106255756
Emus M Gwijangge;Q123898953;Partai Demokrat (Indonesia);Q1186227
Emuy Mulyanah;Q123868347;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emy Aryani;Q123884685;Partai Hati Nurani Rakyat;Q4262041
Emy Herlina;Q123889903;Partai Gelombang Rakyat Indonesia;Q97016042
Emy Mahritawati;Q123888310;Partai Gelombang Rakyat Indonesia;Q97016042
Emy Suslamawati;Q123887258;Partai Golongan Karya;Q1536552
Emy Yuliati;Q123712859;Partai Demokrat (Indonesia);Q1186227
Emylia Dewi;Q123713099;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emylia Nunik Erna Wati;Q123882220;Partai Gerakan Indonesia Raya;Q4261459
Emyta Lauryls Petahiang;Q123890626;Partai Demokrasi Indonesia Perjuangan;Q1186306
En Sri;Q123884735;Partai Gerakan Indonesia Raya;Q4261459
Enah;Q123874306;Partai Persatuan Pembangunan;Q2669302
Enah;Q123879103;Partai Amanat Nasional;Q2434365
Enah Wisal;Q123899457;Partai Gerakan Indonesia Raya;Q4261459
Enang Rahmat;Q123879749;Partai Bulan Bintang;Q2915024
Enang Rusdiana Wongso;Q123711601;Partai Amanat Nasional;Q2434365
Enar Ratriany Assa;Q123879788;Partai Gerakan Indonesia Raya;Q4261459
Encep Irwan Herdiansyah;Q123878277;Partai Kebangkitan Bangsa;Q1257317
Encep Saepudin;Q123878105;Partai Ummat;Q106255756
Encik Wardani;Q123889058;Partai Keadilan Sejahtera;Q1511101
Encok Kuryasa;Q123711908;Partai Keadilan Sejahtera;Q1511101
Encop Sopia;Q123867350;Partai Gerakan Indonesia Raya;Q4261459
Enda Bohene;Q123895920;Partai Persatuan Pembangunan;Q2669302
Endah Ayu Sinta;Q123872672;Partai NasDem;Q4207219
Endah Ayu Wardani;Q123873976;Partai Demokrat (Indonesia);Q1186227
Endah Cahya Immawati;Q123881575;Partai Golongan Karya;Q1536552
Endah Dewi Utami;Q123714948;Partai Solidaritas Indonesia;Q23744654
Endah Eko Pudyastuti;Q123712675;Partai Solidaritas Indonesia;Q23744654
Endah Hendrawasih;Q123878683;Partai Demokrat (Indonesia);Q1186227
Endah Kartikasari;Q123882896;Partai Golongan Karya;Q1536552
Endah Mahmudah;Q123876840;Partai Hati Nurani Rakyat;Q4262041
Endah Pratiwi;Q123713995;Partai Solidaritas Indonesia;Q23744654
Endah Puspita Andrijani;Q123713480;Partai Amanat Nasional;Q2434365
Endah Rahmawati;Q123712490;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endah Rini Prihatin;Q123867341;Partai Persatuan Pembangunan;Q2669302
Endah Rustanti Nur Hidayah;Q123712619;Partai Gelombang Rakyat Indonesia;Q97016042
Endah Rustianah;Q123711981;Partai Gerakan Indonesia Raya;Q4261459
Endah Sari Muryani;Q123889668;Partai Gerakan Indonesia Raya;Q4261459
Endah Setia Dewi;Q123877422;Partai Gerakan Indonesia Raya;Q4261459
Endah Sri Rohayati;Q123887682;Partai Kebangkitan Nusantara;Q115754699
Endah Sriweni;Q123710619;Partai Golongan Karya;Q1536552
Endah Sulistyani;Q123889274;Partai Demokrat (Indonesia);Q1186227
Endah Sulistyo Ningsih;Q123883967;Partai NasDem;Q4207219
Endah Suwarni;Q123878122;Partai Gerakan Indonesia Raya;Q4261459
Endah Tri Utami;Q123713516;Partai Ummat;Q106255756
Endah Utami;Q123880927;Partai Kebangkitan Bangsa;Q1257317
Endah Yuli Astuti;Q123884663;Partai NasDem;Q4207219
Endang;Q123870977;Partai Gelombang Rakyat Indonesia;Q97016042
Endang;Q123891353;Partai Persatuan Indonesia;Q19752495
Endang Ahmad Hidayat;Q123879533;Partai Keadilan Sejahtera;Q1511101
Endang Ali;Q123893815;Partai Demokrat (Indonesia);Q1186227
Endang Arbie;Q123890747;Partai Hati Nurani Rakyat;Q4262041
Endang Elmiyani;Q123875314;Partai Hati Nurani Rakyat;Q4262041
Endang Evi;Q123883288;Partai Hati Nurani Rakyat;Q4262041
Endang Filian;Q123867056;Partai Golongan Karya;Q1536552
Endang Hambali;Q123868586;Partai Solidaritas Indonesia;Q23744654
Endang Hambarwati;Q123880492;Partai Gerakan Indonesia Raya;Q4261459
Endang Hastuty Bunga;Q123868699;Partai NasDem;Q4207219
Endang Hermawan;Q123879068;Partai NasDem;Q4207219
Endang Iryani;Q123887278;Partai Keadilan Sejahtera;Q1511101
Endang Isnaeni;Q123716829;Partai Garda Republik Indonesia;Q123553440
Endang Kusrini S.;Q123882321;Partai Persatuan Indonesia;Q19752495
Endang Kusumastuti;Q123868769;Partai Kebangkitan Bangsa;Q1257317
Endang Kuswardani;Q123872464;Partai Demokrat (Indonesia);Q1186227
Endang Kuswati;Q123715674;Partai Buruh;Q4203001
Endang Larassati Lelasari;Q123873203;Partai Golongan Karya;Q1536552
Endang Lestari;Q123715917;Partai Buruh;Q4203001
Endang Masroni;Q123886770;Partai Demokrat (Indonesia);Q1186227
Endang Mujiati;Q123713584;Partai Demokrat (Indonesia);Q1186227
Endang Mundjiani;Q123878211;Partai Amanat Nasional;Q2434365
Endang Pertiwi;Q123893139;Partai Gerakan Indonesia Raya;Q4261459
Endang Purnama;Q123869833;Partai Keadilan Sejahtera;Q1511101
Endang Rahayu;Q123880523;Partai Golongan Karya;Q1536552
Endang Rahmawati;Q123715880;Partai Persatuan Indonesia;Q19752495
Endang Retno Sariyah Sulasminingsih;Q123882582;Partai Keadilan Sejahtera;Q1511101
Endang Retno Utami;Q123713925;Partai NasDem;Q4207219
Endang Rukmana;Q123872424;Partai Keadilan Sejahtera;Q1511101
Endang Rumadan;Q123895232;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endang Ruwaliyana;Q123874584;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endang Sadtiyanti;Q123880247;Partai Persatuan Indonesia;Q19752495
Endang Saepul Rizal;Q123712048;Partai Garda Republik Indonesia;Q123553440
Endang Setiamini;Q123714245;Partai Persatuan Pembangunan;Q2669302
Endang Setiawati;Q123714115;Partai Persatuan Indonesia;Q19752495
Endang Setiawati;Q123888333;Partai Amanat Nasional;Q2434365
Endang Setiawaty;Q123869998;Partai Persatuan Indonesia;Q19752495
Endang Siti Lestari;Q123713939;Partai Gelombang Rakyat Indonesia;Q97016042
Endang Sri Hartini;Q123871745;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endang Sri Sugiharti;Q123885219;Partai Keadilan Sejahtera;Q1511101
Endang Sri Wahyuni;Q123869984;Partai Demokrat (Indonesia);Q1186227
Endang Sri Wahyuni;Q123880656;Partai Persatuan Indonesia;Q19752495
Endang Srihastuti;Q123867574;Partai Keadilan Sejahtera;Q1511101
Endang Suaidah;Q123886953;Partai Ummat;Q106255756
Endang Sudarjat;Q123878757;Partai Demokrat (Indonesia);Q1186227
Endang Sudiastuti;Q123711694;Partai Kebangkitan Nusantara;Q115754699
Endang Sudrajat;Q123879686;Partai Gerakan Indonesia Raya;Q4261459
Endang Sudrajat Sadeli;Q123868460;Partai Persatuan Indonesia;Q19752495
Endang Sugiarti;Q123868238;Partai Hati Nurani Rakyat;Q4262041
Endang Suherli;Q123878068;Partai Bulan Bintang;Q2915024
Endang Sulaeni;Q123884555;Partai Gelombang Rakyat Indonesia;Q97016042
Endang Sulistilawati;Q123889557;Partai Demokrat (Indonesia);Q1186227
Endang Sulistiyawati;Q123882241;Partai Golongan Karya;Q1536552
Endang Sumarlini;Q123715530;Partai NasDem;Q4207219
Endang Sumiati;Q123866228;Partai Keadilan Sejahtera;Q1511101
Endang Supriadi;Q123873467;Partai Golongan Karya;Q1536552
Endang Susanti;Q123889817;Partai Persatuan Pembangunan;Q2669302
Endang Susilawatie;Q123887621;Partai Gerakan Indonesia Raya;Q4261459
Endang Sutarsih;Q123713179;Partai Persatuan Pembangunan;Q2669302
Endang Sutisna;Q123711240;Partai Demokrat (Indonesia);Q1186227
Endang Tengku;Q123895711;Partai Bulan Bintang;Q2915024
Endang Tri Martini;Q123882924;Partai Keadilan Sejahtera;Q1511101
Endang Trisnawati;Q123884181;Partai Solidaritas Indonesia;Q23744654
Endang Tristiyanti;Q123884796;Partai Keadilan Sejahtera;Q1511101
Endang Triswati;Q123699691;Partai Kebangkitan Bangsa;Q1257317
Endang Wahyu Apriliana;Q123714320;Partai Demokrat (Indonesia);Q1186227
Endang Wahyuni;Q123716386;Partai Buruh;Q4203001
Endang Winaryanti;Q123714201;Partai Amanat Nasional;Q2434365
Endang Wiretni;Q123883394;Partai Keadilan Sejahtera;Q1511101
Endang Yunita;Q123869565;Partai Gelombang Rakyat Indonesia;Q97016042
Endani;Q123888346;Partai Solidaritas Indonesia;Q23744654
Endar Susanto;Q123713129;Partai Kebangkitan Nusantara;Q115754699
Endarmy;Q123870879;Partai NasDem;Q4207219
Endarta;Q123712700;Partai Ummat;Q106255756
Endi Basrul C.;Q123868284;Partai Persatuan Indonesia;Q19752495
Endi Cahyadi;Q123711184;Partai NasDem;Q4207219
Endi Marsal Dalimunthe;Q123714749;Partai Gelombang Rakyat Indonesia;Q97016042
Endi Rohendiana;Q123711919;Partai Hati Nurani Rakyat;Q4262041
Endi S;Q123868231;Partai Kebangkitan Nusantara;Q115754699
Endi Supriadinata;Q123709885;Partai Amanat Nasional;Q2434365
Ending Muhidin;Q123711324;Partai Amanat Nasional;Q2434365
Endo Hutomo;Q123887098;Partai Kebangkitan Nusantara;Q115754699
Endra Adiya Purwaka;Q123715016;Partai Kebangkitan Nusantara;Q115754699
Endra Yulianto;Q123880127;Partai Gerakan Indonesia Raya;Q4261459
Endrawan Apriliyanto;Q123881333;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endrawati Puji Rahayu;Q123868964;Partai Golongan Karya;Q1536552
Endrianingsih Yunita;Q123880949;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endritha Wati Dago Purasongka;Q123891607;Partai Persatuan Indonesia;Q19752495
Endrizal;Q123872315;Partai Kebangkitan Nusantara;Q115754699
Endro Dwi Cahyono;Q123880129;Partai Demokrasi Indonesia Perjuangan;Q1186306
Endro Suwilo;Q123883339;Partai Ummat;Q106255756
Endun Hamdun;Q123878037;Partai Keadilan Sejahtera;Q1511101
Endy Julianto;Q123869473;Partai Persatuan Indonesia;Q19752495
Endy Junaedy K.;Q123713726;Partai Gelombang Rakyat Indonesia;Q97016042
Eneng Ading;Q123879666;Partai Persatuan Indonesia;Q19752495
Eneng Ervi Siti Zahroh Zidni;Q123868478;Partai Kebangkitan Bangsa;Q1257317
Eneng Maliyanasari;Q123877937;Partai Solidaritas Indonesia;Q23744654
Eneng Mirna Desmianti;Q123878518;Partai Demokrat (Indonesia);Q1186227
Engelbertus Bo;Q123886149;Partai Amanat Nasional;Q2434365
Enggalina Toni;Q123886653;Partai Amanat Nasional;Q2434365
Enggano;Q123879739;Partai Amanat Nasional;Q2434365
Engran Ispandi Silalahi;Q123870304;Partai Keadilan Sejahtera;Q1511101
Eni Astuti;Q123885172;Partai NasDem;Q4207219
Eni Chusniyah;Q123880349;Partai Buruh;Q4203001
Eni Darti;Q123872717;Partai Amanat Nasional;Q2434365
Eni Dyah Marhiyani;Q123882913;Partai NasDem;Q4207219
Eni Erawati;Q123714743;Partai Buruh;Q4203001
Eni Eryaningsih;Q123715899;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eni Hadiarti;Q123883638;Partai Golongan Karya;Q1536552
Eni Hariati;Q123883383;Partai Buruh;Q4203001
Eni Herlina;Q123710367;Partai Gerakan Indonesia Raya;Q4261459
Eni Kundiarti;Q123713173;Partai Persatuan Indonesia;Q19752495
Eni Lestari;Q123887057;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eni Maria;Q123716179;Partai Kebangkitan Bangsa;Q1257317
Eni Miton Busub;Q123899354;Partai Gelombang Rakyat Indonesia;Q97016042
Eni Nur'aeni;Q123712093;Partai Persatuan Pembangunan;Q2669302
Eni Purnamawati;Q123876534;Partai Garda Republik Indonesia;Q123553440
Eni Ratna Wati;Q123885460;Partai Persatuan Indonesia;Q19752495
Eni Rejeki;Q123881421;Partai Amanat Nasional;Q2434365
Eni Rif'ati;Q123878104;Partai Ummat;Q106255756
Eni Sumarni;Q123885291;Partai Bulan Bintang;Q2915024
Eni Suprapti;Q123881351;Partai Golongan Karya;Q1536552
Eni Yuliana;Q123883935;Partai Gerakan Indonesia Raya;Q4261459
Enie Augus Junaety;Q123874526;Partai Demokrat (Indonesia);Q1186227
Enie Pujiastuti;Q123880610;Partai Amanat Nasional;Q2434365
Enik Oktafiyah;Q123714388;Partai Amanat Nasional;Q2434365
Enik Windiarti;Q123898231;Partai Amanat Nasional;Q2434365
Enita Agustri Niarsih;Q123874262;Partai Amanat Nasional;Q2434365
Enius Wopi;Q123899333;Partai Golongan Karya;Q1536552
Enius Yual;Q123899340;Partai NasDem;Q4207219
Eniwati;Q123876199;Partai Amanat Nasional;Q2434365
Enja Lina Bea Siswati;Q123888213;Partai Garda Republik Indonesia;Q123553440
Enjang Suhardi;Q123711923;Partai Garda Republik Indonesia;Q123553440
Enjang Tedi;Q123879640;Partai Amanat Nasional;Q2434365
Enlye Mariza;Q123867271;Partai Persatuan Pembangunan;Q2669302
Enny Lubis;Q123870399;Partai Golongan Karya;Q1536552
Enny Marlina;Q123898211;Partai Kebangkitan Nusantara;Q115754699
Enny Maryani;Q123711497;Partai Hati Nurani Rakyat;Q4262041
Enny Mulyanti;Q123713728;Partai Gelombang Rakyat Indonesia;Q97016042
Enny Soelistyowati;Q123883086;Partai Bulan Bintang;Q2915024
Enny Suryantini;Q123712644;Partai Garda Republik Indonesia;Q123553440
Enny Yuliana;Q123716241;Partai Demokrat (Indonesia);Q1186227
Enny Yusneni;Q123873023;Partai Keadilan Sejahtera;Q1511101
Eno Suseno;Q123868056;Partai Persatuan Indonesia;Q19752495
Eno Syafrudien;Q123709918;Partai Persatuan Pembangunan;Q2669302
Enok Melani Hadiyanti;Q123878221;Partai Bulan Bintang;Q2915024
Enok Sumyati;Q123867742;Partai Kebangkitan Bangsa;Q1257317
Enong Suhaeti;Q123868510;Partai Golongan Karya;Q1536552
Enos Bab;Q123896697;Partai Hati Nurani Rakyat;Q4262041
Enos Hutauruk;Q123871911;Partai Kebangkitan Bangsa;Q1257317
Enos Loha;Q123896044;Partai Solidaritas Indonesia;Q23744654
Enos Murib;Q123898362;Partai Golongan Karya;Q1536552
Enos Pasaua;Q123891833;Partai Persatuan Indonesia;Q19752495
Enos Pirade;Q123892865;Partai Solidaritas Indonesia;Q23744654
Ensiana Wayor;Q123896807;Partai Persatuan Pembangunan;Q2669302
Enther Nizar;Q123879246;Partai Amanat Nasional;Q2434365
Entin Sumartini;Q123711961;Partai Persatuan Pembangunan;Q2669302
Entit Suhandi;Q123711866;Partai Persatuan Indonesia;Q19752495
Entol Akhmad Ferdi Ligaswara;Q123868537;Partai Keadilan Sejahtera;Q1511101
Enung Maryati;Q123713903;Partai Kebangkitan Bangsa;Q1257317
Enung Nurhayati;Q123868481;Partai Kebangkitan Bangsa;Q1257317
Enung Salamah;Q123878540;Partai Ummat;Q106255756
Enung Suryati;Q123879665;Partai Persatuan Indonesia;Q19752495
Enur Pratiwi;Q123714999;Partai Buruh;Q4203001
Enus Kogoya;Q123898492;Partai Amanat Nasional;Q2434365
Enver Abdullah Rumarey Wattimena;Q123895271;Partai Persatuan Pembangunan;Q2669302
Eny Gusita;Q123715412;Partai Keadilan Sejahtera;Q1511101
Eny Juliati;Q123886871;Partai Keadilan Sejahtera;Q1511101
Eny Priastuty Setiyaningsih;Q123714200;Partai Amanat Nasional;Q2434365
Eny Rahmawati;Q123880991;Partai NasDem;Q4207219
Eny Rochayati;Q123876648;Partai Buruh;Q4203001
Eny Sangadji;Q123895334;Partai Solidaritas Indonesia;Q23744654
Eny Sustanti;Q123880453;Partai Persatuan Pembangunan;Q2669302
Epa Ristika;Q123873731;Partai Persatuan Pembangunan;Q2669302
Eperonika Tipagau;Q123898289;Partai Golongan Karya;Q1536552
Epi Hasan Rifai;Q123868578;Partai Demokrat (Indonesia);Q1186227
Epi Hendri Yani;Q123872284;Partai Demokrasi Indonesia Perjuangan;Q1186306
Epi Suryadi;Q123872427;Partai Keadilan Sejahtera;Q1511101
Epi Sutanti;Q123874627;Partai Amanat Nasional;Q2434365
Epi Sutisna;Q123878096;Partai Persatuan Indonesia;Q19752495
Epi Zaenal Hanafi;Q123712097;Partai Ummat;Q106255756
Epianus Hipijau;Q123898332;Partai Solidaritas Indonesia;Q23744654
Epina Komba;Q123899204;Partai Amanat Nasional;Q2434365
Epinus Murib;Q123898399;Partai Garda Republik Indonesia;Q123553440
Episantoso;Q123870773;Partai Keadilan Sejahtera;Q1511101
Epita Alung;Q123891475;Partai Amanat Nasional;Q2434365
Epiviana Desi;Q123716043;Partai Garda Republik Indonesia;Q123553440
Eprilia Tri Arum Taurusia;Q123715835;Partai Keadilan Sejahtera;Q1511101
Epriya;Q123867031;Partai Gerakan Indonesia Raya;Q4261459
Eq Digcosto C. Oktemka;Q123896681;Partai Kebangkitan Nusantara;Q115754699
Era Fitriani Eka Putri Lubis;Q123866799;Partai Kebangkitan Nusantara;Q115754699
Era Fitriyeni;Q123871119;Partai Persatuan Indonesia;Q19752495
Era Lolita Suryana;Q123877629;Partai Golongan Karya;Q1536552
Era Sri Rahayu;Q123869607;Partai Garda Republik Indonesia;Q123553440
Eraini Pera;Q123888257;Partai Persatuan Indonesia;Q19752495
Erando Friestama;Q123874851;Partai Amanat Nasional;Q2434365
Erasmus Batubara;Q123875478;Partai Demokrasi Indonesia Perjuangan;Q1186306
Erasmus Frans Mandato;Q123885857;Partai Hati Nurani Rakyat;Q4262041
Erbi Sanjaya;Q123866113;Partai Gelombang Rakyat Indonesia;Q97016042
Ercut Nova Sari;Q123699362;Partai Solidaritas Indonesia;Q23744654
Erdansyah;Q123875521;Partai Bulan Bintang;Q2915024
Erdi;Q123869584;Partai Kebangkitan Nusantara;Q115754699
Erdi Janur;Q123870866;Partai Demokrasi Indonesia Perjuangan;Q1186306
Erdiansyah;Q123874120;Partai Gelombang Rakyat Indonesia;Q97016042
Ereminas Nirigi;Q123898519;Partai Kebangkitan Bangsa;Q1257317
Erene Julien Saleky;Q123895434;Partai Amanat Nasional;Q2434365
Erensias Ruamba;Q123896873;Partai Demokrasi Indonesia Perjuangan;Q1186306
Erfan Efendi;Q123868916;Partai Persatuan Pembangunan;Q2669302
Erfan Supriatna;Q123714872;Partai Buruh;Q4203001
Erfandi;Q123893648;Partai Gerakan Indonesia Raya;Q4261459
Erfi Syachnia Fd.;Q123882834;Partai Persatuan Pembangunan;Q2669302
Erfian Zufri;Q123711525;Partai Ummat;Q106255756
Erfin;Q123868517;Partai Golongan Karya;Q1536552
Erfin Sofia Astuti;Q123713691;Partai Ummat;Q106255756
Erfina;Q123713683;Partai Persatuan Indonesia;Q19752495
Erfina;Q123876457;Partai Kebangkitan Bangsa;Q1257317
Erhamna;Q123868382;Partai Buruh;Q4203001
Erhamni;Q123888839;Partai Bulan Bintang;Q2915024
Eri Juniarti;Q123867213;Partai Golongan Karya;Q1536552
Eri Kiswanto;Q123872944;Partai Persatuan Indonesia;Q19752495
Eri Rai Moncak Sutan;Q123871405;Partai Ummat;Q106255756
Eri Ramdani;Q123869488;Partai Ummat;Q106255756
Eri Suhaeri;Q123868498;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eri Suriati;Q123869225;Partai Gerakan Indonesia Raya;Q4261459
Eri Yanto;Q123874880;Partai Persatuan Indonesia;Q19752495
Eriani Dg. Kilat;Q123716431;Partai Bulan Bintang;Q2915024
Erianti;Q123893241;Partai Persatuan Pembangunan;Q2669302
