kodeId:ID,nama,:LABEL
Q123896763,Abdul Rasyid Samberbory,Politikus
Q123725997,,Politikus
Q123884759,Abdul Rasyid Zaenal,Politikus
Q123710181,Abdul Rauf,Politikus
Q123885447,Abdul Rauf,Politikus
Q123890415,Abdul Rauf,Politikus
Q123892943,Abdul Rauf Dewang,Politikus
Q123892895,Abdul Rauf Rahim,Politikus
Q123888858,Abdul Razak,Politikus
Q123712194,Abdul Ridwan Yazid,Politikus
Q123867177,Abdul Rihan,Politikus
Q123713394,Abdul Rochim,Politikus
Q123715182,Abdul Rochim,Politikus
Q123714210,Abdul Rochman,Politikus
Q123889041,Abdul Rofik,Politikus
Q123713761,Abdul Rohim,Politikus
Q123878710,Abdul Rohim,Politikus
Q123867661,Abdul Rohman,Politikus
Q123879321,Abdul Rohman,Politikus
Q123714420,Abdul Rokhim,Politikus
Q123880335,Abdul Rouf,Politikus
Q123872416,Abdul Rozak,Politikus
Q123877580,Abdul Salam,Politikus
Q123893321,Abdul Salam Sahadia,Politikus
Q123870932,Abdul Salam Tuanku Bungsu,Politikus
Q123877834,Abdul Salim,Politikus
Q123889807,Abdul Samad,Politikus
Q123886401,Abdul Samad Lukman,Politikus
Q123888983,Abdul Sani,Politikus
Q123716928,Abdul Sani Simin,Politikus
Q123715358,Abdul Shobur,Politikus
Q123893690,Abdul Sigit,Politikus
Q123887908,Abdul Syukur,Politikus
Q122211227,,Politikus
Q123885679,Abdul Syukur M. Dapubeang,Politikus
Q123716369,Abdul Talib Mustafa,Politikus
Q123884322,Abdul Wachid Muin,Politikus
Q123868027,Abdul Wadud,Politikus
Q123884120,Abdul Wahab,Politikus
Q123894041,Abdul Wahab A. Hida,Politikus
Q123890764,Abdul Wahab Hudodo,Politikus
Q123716893,Abdul Wahab Suneth,Politikus
Q123884899,Abdul Wahid,Politikus
Q123714318,Abdul Wahid Azar,Politikus
Q123890438,Abdul Wahid Ibrahim,Politikus
Q123885019,Abdul Wazid,Politikus
Q123880271,Abdulah Aminudin,Politikus
Q123884351,Abdulah Faizin,Politikus
Q123895198,Abdulah Tuankotta,Politikus
Q123894172,Abdull Azis Deny Latif,Politikus
Q123866246,Abdullah,Politikus
Q123866306,Abdullah,Politikus
Q123872104,Abdullah,Politikus
Q123885397,Abdullah,Politikus
